alert_key,probability
357307,0.0034142032
376329,0.0
373644,0.0
357668,0.003072234
354443,0.0006074107
361128,0.003497602
364753,0.0008568452
365254,0.0
375177,0.0
360609,7.4911775e-05
362463,4.1860294e-05
371048,0.0
368703,0.0
376496,0.0
369160,0.0
373250,0.0
357108,6.2048304e-05
377450,0.0
377489,0.0
369183,0.0
375786,0.0
367385,0.0
359961,6.292309e-05
372097,0.0
374437,0.0
372786,0.0
373652,0.0
368288,0.0
369001,0.0
357471,0.010076479
373249,0.0
371557,0.0
363442,2.9126742e-05
367901,0.0
356228,0.008387597
366990,0.0
353518,0.0052946727
366992,0.0
366277,0.0
370571,0.0
355197,2.6938995e-05
370278,0.0
376567,0.0
368268,0.0
368570,0.0
371768,0.0
369612,0.0
353241,0.0018410393
364675,0.0007445375
358723,0.00085903966
354007,0.008963647
376117,0.0
367018,0.0
370240,0.0
355816,0.0022173158
360063,2.654152e-05
367684,0.0
354047,0.7801119
359605,0.05012132
358227,0.00018217908
366963,0.0
355808,1.27275425e-05
367535,0.0
362125,0.0013267626
356795,0.04378383
364626,0.0073413495
371637,0.0
361856,0.00011779536
369164,0.0
362723,0.040977042
356790,0.020219252
372305,0.0
365739,0.0
370233,0.0
371793,0.0
356638,0.0001679324
358254,0.022860503
355751,0.0021035122
358216,6.7029636e-05
367366,0.0
363261,3.0538933e-05
378018,0.0
359854,0.00014028669
355188,0.00013677486
360842,0.00018217908
354853,1.3582166e-05
357485,0.00013832437
376503,0.0
371279,0.0
358458,0.00011779536
360264,0.00030395942
353868,2.9822804e-06
363136,0.0073413495
361003,0.00012985316
373477,0.0
376103,0.0
364190,2.7878782e-06
374318,0.0
356306,0.00016379642
360401,6.679705e-05
354820,0.0064469352
365325,0.0
367417,0.0
358172,0.00038420144
353872,0.14407723
368580,0.0
366708,0.0
365595,0.0
359647,0.00029114404
372343,0.0
360589,0.034339163
372795,0.0
371639,0.0
364695,0.0005314091
370248,0.0
369444,0.0
355181,1.9100444e-05
367216,0.0
375775,0.0
378068,0.0
358331,5.7982023e-05
356245,7.424583e-05
367533,0.0
374525,0.0
367893,0.0
376644,0.0
361282,1.46277025e-05
376785,0.0
361270,0.002310029
376080,0.0
368682,0.0
369990,0.0
355775,0.006436727
359483,0.0007445375
364253,5.7982023e-05
375891,0.0
363763,0.00013677486
377761,0.0
363459,0.00699236
376304,0.0
374936,0.0
365467,0.0
366252,0.0
361314,0.0008576947
372124,0.0
355384,0.0016404946
361166,0.00025217494
357448,0.00095977343
376098,0.0
357069,8.147379e-05
366687,0.0
374428,0.0
368724,0.0
367897,0.0
365876,0.0
378410,0.0
353835,1.1915814e-05
354842,0.0004100396
352876,7.265785e-05
364678,0.0002532452
376490,0.0
367421,0.0
363916,2.2801605e-05
372347,0.0
356951,0.00699236
368577,0.0
356045,5.0081697e-05
371280,0.0
360011,0.00023826645
371626,0.0
354261,1.7636668e-05
360409,0.04378383
357498,0.004512827
376073,0.0
375311,0.0
359775,3.811688e-05
353861,0.00013555051
362890,0.0066453293
366823,0.0
357507,0.032861628
357221,0.09529447
366696,0.0
359648,0.0006552397
357871,0.055188857
366624,0.0
357671,4.629578e-05
364686,3.6070967e-05
375306,0.0
377933,0.0
355411,0.012425131
354673,0.027966665
368901,0.0
373256,0.0
370153,0.0
371749,0.0
353860,0.00013388786
370243,0.0
356784,1.7933015e-05
357509,1.27275425e-05
364640,0.0023453985
369808,0.0
354049,1.7933015e-05
361566,0.00085903966
369145,0.0
368524,0.0
354246,0.0003013432
367543,0.0
375035,0.0
367691,0.0
367217,0.0
363771,6.2048304e-05
359340,1.5774196e-05
370161,0.0
365578,0.0
353385,0.00093272486
358046,0.005795189
374575,0.0
367418,0.0
372812,0.0
374463,0.0
357882,0.021447407
358808,0.00047622868
357222,0.00015228214
365617,0.0
378407,0.0
360566,0.003497602
363102,0.0009843727
373444,0.0
369593,0.0
364319,1.27275425e-05
353888,1.3582166e-05
369464,0.0
357324,8.006952e-05
363320,0.13968205
362725,0.00014390307
372794,0.0
377432,0.0
371421,0.0
375460,0.0
374577,0.0
374600,0.0
353200,0.000495028
377808,0.0
357128,7.4911775e-05
369186,0.0
357297,0.003059963
370276,0.0
360576,6.4304463e-06
365579,0.0
370256,0.0
365349,0.0
369617,0.0
367888,0.0
370918,0.0
372959,0.0
365750,0.0
360553,0.005833116
360596,2.6938995e-05
355202,0.00031083802
360387,3.5477806e-05
364293,0.00012407773
354595,8.069959e-06
366062,0.0
373254,0.0
361133,2.9062952e-05
361136,0.020434976
374929,0.0
373237,0.0
358178,2.9062952e-05
376890,0.0
354663,2.2801605e-05
377801,0.0
367574,0.0
355155,0.002839917
355378,0.0032369448
357488,2.654152e-05
363863,0.0023453985
363284,0.020165218
367422,0.0
363886,0.0013018957
375931,0.0
364165,0.014591064
367170,0.0
357661,3.6902748e-05
364302,0.097908914
374464,0.0
363478,2.2501434e-05
363289,0.00085621147
361848,5.3696276e-05
356418,2.6938995e-05
373804,0.0
357287,0.00036767556
357322,5.1111318e-05
362586,0.008544052
377954,0.0
367370,0.0
369395,0.0
375995,0.0
372636,0.0
355196,1.27275425e-05
